epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
60,749.144,0.99483,0.4446,1.10574,0.96619,0.94854,0.96961,0.61861,1.3188,0.52004,1.33417,0.000296953,0.000296953,0.000296953
61,760.947,0.99968,0.43748,1.10427,0.97098,0.95265,0.97177,0.61463,1.33631,0.51945,1.36878,0.000289884,0.000289884,0.000289884
62,772.727,1.00489,0.44244,1.11394,0.958,0.95846,0.97149,0.62021,1.33836,0.51569,1.36174,0.000282815,0.000282815,0.000282815
63,784.782,0.96695,0.43312,1.09971,0.96772,0.95382,0.97165,0.61283,1.32168,0.50684,1.34793,0.000275747,0.000275747,0.000275747
64,797.193,0.97322,0.43531,1.08897,0.961,0.96245,0.97416,0.61584,1.31632,0.50223,1.34634,0.000268678,0.000268678,0.000268678
65,809.275,0.98889,0.4359,1.11017,0.96078,0.96041,0.97273,0.6189,1.31167,0.49751,1.34146,0.00026161,0.00026161,0.00026161
66,821.519,0.97389,0.43884,1.10197,0.97417,0.94934,0.97228,0.62229,1.33034,0.50045,1.35619,0.000254541,0.000254541,0.000254541
67,833.625,0.97367,0.436,1.08138,0.973,0.9451,0.97247,0.61997,1.32776,0.50882,1.35264,0.000247472,0.000247472,0.000247472
68,845.784,0.97361,0.4289,1.09418,0.968,0.95485,0.97324,0.61731,1.3232,0.50768,1.3448,0.000240404,0.000240404,0.000240404
69,857.921,0.96095,0.42824,1.08251,0.96778,0.95458,0.9727,0.60905,1.34891,0.52167,1.37137,0.000233335,0.000233335,0.000233335
70,869.928,0.95501,0.4234,1.08571,0.96349,0.95946,0.97159,0.61013,1.34715,0.51446,1.36498,0.000226267,0.000226267,0.000226267
71,882.199,0.95192,0.42465,1.08754,0.96756,0.95712,0.97288,0.61527,1.33209,0.50941,1.36788,0.000219198,0.000219198,0.000219198
72,894.374,0.95016,0.42219,1.08606,0.96648,0.96099,0.97545,0.61574,1.33171,0.50594,1.36147,0.000212129,0.000212129,0.000212129
73,906.463,0.94206,0.42133,1.07451,0.97215,0.95126,0.97305,0.61077,1.34034,0.51854,1.37012,0.000205061,0.000205061,0.000205061
74,918.331,0.93534,0.41572,1.07467,0.97747,0.95107,0.97246,0.61098,1.35324,0.51909,1.38564,0.000197992,0.000197992,0.000197992
75,930.114,0.93328,0.42579,1.07281,0.97394,0.95141,0.97102,0.61981,1.33203,0.50616,1.36493,0.000190924,0.000190924,0.000190924
76,942.354,0.93118,0.42759,1.07864,0.97694,0.9427,0.97171,0.61503,1.34151,0.51569,1.3791,0.000183855,0.000183855,0.000183855
77,954.627,0.93232,0.41737,1.06771,0.9726,0.94638,0.97136,0.61771,1.33073,0.51009,1.36612,0.000176786,0.000176786,0.000176786
78,966.849,0.92669,0.41381,1.06938,0.97391,0.95194,0.97189,0.61932,1.33017,0.51349,1.36707,0.000169718,0.000169718,0.000169718
79,979.068,0.914,0.41944,1.06862,0.97331,0.94942,0.97239,0.61399,1.33427,0.50788,1.37022,0.000162649,0.000162649,0.000162649
80,991.349,0.92607,0.41376,1.06393,0.96597,0.95909,0.97634,0.62222,1.32454,0.49769,1.3674,0.000155581,0.000155581,0.000155581
81,1003.78,0.90243,0.39847,1.0704,0.97081,0.95117,0.97401,0.61285,1.34092,0.51048,1.37546,0.000148512,0.000148512,0.000148512
82,1015.97,0.90336,0.40427,1.05924,0.97232,0.95274,0.97192,0.61675,1.33437,0.50555,1.37398,0.000141443,0.000141443,0.000141443
83,1028.41,0.89124,0.40054,1.04774,0.97387,0.95091,0.97266,0.61123,1.34124,0.50164,1.38384,0.000134375,0.000134375,0.000134375
84,1040.64,0.88971,0.39493,1.04382,0.97458,0.95275,0.97302,0.61122,1.34307,0.5049,1.38599,0.000127306,0.000127306,0.000127306
85,1053.2,0.89846,0.39823,1.06283,0.97157,0.95916,0.9729,0.61796,1.3316,0.49816,1.3799,0.000120238,0.000120238,0.000120238
86,1065.57,0.89818,0.40772,1.0612,0.97132,0.95413,0.97263,0.61377,1.33461,0.50877,1.38094,0.000113169,0.000113169,0.000113169
87,1077.62,0.88854,0.40029,1.05235,0.97174,0.94928,0.97077,0.6101,1.35444,0.51113,1.39614,0.0001061,0.0001061,0.0001061
88,1089.51,0.8655,0.38191,1.03784,0.97092,0.95317,0.97441,0.61046,1.35287,0.50834,1.39666,9.90318e-05,9.90318e-05,9.90318e-05
89,1101.23,0.86756,0.39109,1.04566,0.9707,0.95462,0.97247,0.61324,1.33947,0.50331,1.38869,9.19632e-05,9.19632e-05,9.19632e-05
